"filename", "language", "JSON", "Markdown", "Ignore", "JavaScript", "Docker", "Django txt", "YAML", "XML", "Groovy", "Properties", "Django HTML", "Dart", "Swift", "C++", "GraphQL", "comment", "blank", "total"
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\constants\strings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 3, 51
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\model\myModel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 19, 91
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\model\myModel.g.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 4, 15, 90
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\queries\queryStrings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 1, 15, 134
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\services\gql.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 9, 6, 27
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\landing_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 1, 10, 158
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\question.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 1, 12, 99
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\signin.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 3, 64
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\user_landing.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 73
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\user_survey_detail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\view\users_surveys_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 10, 3, 52
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\viewmodel\answerViewModel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 2, 11, 66
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\viewmodel\questionViewModel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 12, 82
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\viewmodel\surveyViewModel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 5, 27, 182
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\viewmodel\userViewModel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 7, 73
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\login_page\user_login_forget_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\login_page\user_login_login_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 19, 7, 76
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\login_page\user_login_logo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\login_page\user_login_signup_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 4, 39
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\question_page\answerContainer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\question_page\myAlertDialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\question_page\nextButton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 5, 59
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\question_page\previousButton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\question_page\progressBar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\question_page\questionContainer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 5, 30
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\signup_page\genericTextField.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\lib\widgets\signup_page\signin_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 2, 9, 74
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 49
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\web\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 34
"c:\Projects\GrandStackProjects\Survey\mobile_client_flutter\web\manifest.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Projects\GrandStackProjects\Survey\neo4j\Dockerfile", "Docker", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Projects\GrandStackProjects\Survey\neo4j\README.md", "Markdown", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Projects\GrandStackProjects\Survey\package-lock.json", "JSON", 12137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12138
"c:\Projects\GrandStackProjects\Survey\package.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Projects\GrandStackProjects\Survey\scripts\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Projects\GrandStackProjects\Survey\scripts\build.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Projects\GrandStackProjects\Survey\scripts\common.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Projects\GrandStackProjects\Survey\scripts\config\index.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Projects\GrandStackProjects\Survey\scripts\inferSchema.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Projects\GrandStackProjects\Survey\scripts\seed.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Projects\GrandStackProjects\Survey\scripts\start-dev.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Projects\GrandStackProjects\Survey\vercel.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"Total", "-", 31773, 429, 1, 343, 24, 169, 74, 1564, 84, 9, 30, 1504, 12, 1, 40, 151, 603, 36811
